id,drug,brand,section_code,section_name,as_of_date,version_note,text
db91c770,empagliflozin,Jardiance,43685-7,Warnings and Precautions,2024-03-01,current snapshot,Ketoacidosis in patients with diabetes; volume depletion and hypotension; urosepsis and pyelonephritis; hypoglycemia with insulin or insulin secretagogues; necrotizing fasciitis of the perineum (Fournier's gangrene) reported with SGLT2 inhibitors — assess and treat promptly; genital mycotic infections.
33fc8743,empagliflozin,Jardiance,34084-4,Adverse Reactions,2024-03-01,current snapshot,"Most common adverse reactions: urinary tract infections and female genital mycotic infections. Postmarketing: ketoacidosis, urosepsis, necrotizing fasciitis of the perineum, and angioedema."
3110828e,warfarin,Coumadin,34066-1,Boxed Warning,2024-01-05,current snapshot,"WARNING: BLEEDING RISK. Warfarin can cause major or fatal bleeding. Perform regular monitoring of INR in all treated patients. Drugs, diet changes, and other factors affect INR levels; instruct patients about prevention measures and to report signs and symptoms of bleeding immediately."
7e348168,warfarin,Coumadin,43685-7,Warnings and Precautions,2024-01-05,current snapshot,"Hemorrhage: fatal or serious bleeding can occur at any site. Tissue necrosis and calciphylaxis; acute kidney injury in patients with altered glomerular integrity; systemic atheroemboli and cholesterol microemboli (""purple toe syndrome""); use in pregnancy is contraindicated except with mechanical heart valves; heparin-induced thrombocytopenia interaction."
51a6f9b7,warfarin,Coumadin,34073-7,Drug Interactions,2024-01-05,current snapshot,"Numerous drugs interact with warfarin through CYP2C9, CYP1A2, and CYP3A4 pathways or through effects on hemostasis. Inhibitors such as amiodarone, fluconazole, metronidazole, and trimethoprim- sulfamethoxazole increase INR and bleeding risk; inducers such as rifampin and carbamazepine decrease INR. NSAIDs, aspirin, and antiplatelet agents increase bleeding risk without raising INR."
b6766c19,metformin,Glucophage,34066-1,Boxed Warning,2024-02-01,current snapshot,"WARNING: LACTIC ACIDOSIS. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Risk factors include renal impairment, concomitant carbonic anhydrase inhibitors, age 65 or greater, contrast imaging procedures, surgery, hypoxic states, excessive alcohol intake, and hepatic impairment. If lactic acidosis is suspected, discontinue metformin and institute general supportive measures."
787e546d,metformin,Glucophage,43685-7,Warnings and Precautions,2024-02-01,current snapshot,"Lactic acidosis (boxed warning); vitamin B12 deficiency with long-term use — measure hematologic parameters periodically; hypoglycemia with concomitant insulin or insulin secretagogues, alcohol, caloric deficit; withhold in hypoxic states and before iodinated contrast imaging in patients with reduced renal function."
64509a0e,atorvastatin,Lipitor,43685-7,Warnings and Precautions,2024-01-20,current snapshot,"Myopathy and rhabdomyolysis with acute renal failure secondary to myoglobinuria: risk increases with higher doses, advanced age, hypothyroidism, renal impairment, and interacting drugs such as cyclosporine, gemfibrozil, and strong CYP3A4 inhibitors. Immune- mediated necrotizing myopathy has been reported. Liver enzyme abnormalities: perform liver tests before initiation and as clinically indicated; rare postmarketing reports of fatal and non-fatal hepatic failure. Increases in HbA1c and fasting glucose have been reported."
a9ba0df7,atorvastatin,Lipitor,34084-4,Adverse Reactions,2024-01-20,current snapshot,"Most common adverse reactions: nasopharyngitis, arthralgia, diarrhea, pain in extremity, and urinary tract infection. Postmarketing: rhabdomyolysis, immune-mediated necrotizing myopathy, hepatic failure, dizziness, and memory impairment (generally reversible)."
6ba2ab8f,sertraline,Zoloft,34066-1,Boxed Warning,2024-02-10,current snapshot,"WARNING: SUICIDAL THOUGHTS AND BEHAVIORS. Antidepressants increased the risk of suicidal thoughts and behavior in pediatric and young adult patients in short-term studies. Closely monitor all antidepressant- treated patients for clinical worsening and emergence of suicidal thoughts and behaviors, particularly during the initial few months of therapy and at times of dosage changes."
1f0c6065,sertraline,Zoloft,43685-7,Warnings and Precautions,2024-02-10,current snapshot,"Serotonin syndrome, particularly with concomitant serotonergic drugs including MAOIs, triptans, and tramadol; increased risk of bleeding with aspirin, NSAIDs, or anticoagulants; activation of mania or hypomania; discontinuation syndrome with abrupt cessation; angle- closure glaucoma; hyponatremia, particularly in the elderly; QTc prolongation at higher doses."
bf533717,lisinopril,Zestril,34066-1,Boxed Warning,2024-01-25,current snapshot,"WARNING: FETAL TOXICITY. When pregnancy is detected, discontinue lisinopril as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus."
0530ae42,lisinopril,Zestril,43685-7,Warnings and Precautions,2024-01-25,current snapshot,"Angioedema of the face, extremities, lips, tongue, glottis, and larynx has been reported, including fatal airway obstruction; higher incidence in Black patients; intestinal angioedema has also been reported. Hypotension, particularly in volume- or salt-depleted patients; hyperkalemia; renal function deterioration in susceptible patients; rare syndrome starting with cholestatic jaundice progressing to hepatic necrosis."
